3520, 1000, 0, 0, 901.842, 425.997, 0.710592, 57.0593, 112.727, 197.096, 27.9652, 13.2128, 487.154, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.20538, 0.146007, 16.6054, 16.6054, 16.4594, 16.5525, 3.34533, 16.6054, 16.6054, 13.2601
3600, 1000, 0, 0, 903.585, 426.406, 0.692915, 57.1038, 112.766, 196.231, 27.1487, 13.2383, 488.096, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.20245, 0.145728, 16.6054, 16.6054, 16.4597, 16.5203, 3.34019, 16.6054, 16.6054, 13.2652
3680, 1000, 0, 0, 905.168, 426.777, 0.676726, 57.1443, 112.802, 195.415, 26.4029, 13.2614, 488.952, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.1998, 0.145475, 16.6054, 16.6054, 16.4599, 16.491, 3.33553, 16.6054, 16.6054, 13.2699
3760, 1000, 0, 0, 906.606, 427.114, 0.661903, 57.1811, 112.835, 194.645, 25.7218, 13.2824, 489.731, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.19741, 0.145246, 16.6054, 16.6054, 16.4601, 16.4646, 3.3313, 16.6054, 16.6054, 13.2741
3840, 1000, 0, 0, 907.913, 427.42, 0.648336, 57.2145, 112.864, 193.92, 25.0997, 13.3015, 490.439, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.19524, 0.145039, 16.6054, 16.6054, 16.4604, 16.4406, 3.32747, 16.6054, 16.6054, 13.2779
3920, 1000, 0, 0, 909.1, 427.697, 0.635922, 57.2448, 112.891, 193.239, 24.5316, 13.3189, 491.082, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.19328, 0.144851, 16.6054, 16.6054, 16.4605, 16.4189, 3.324, 16.6054, 16.6054, 13.2814
4000, 1000, 0, 0, 910.178, 427.949, 0.624565, 57.2724, 112.916, 192.599, 24.0128, 13.3347, 491.666, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.1915, 0.144681, 16.6054, 16.6054, 16.4607, 16.3992, 3.32085, 16.6054, 16.6054, 13.2845
4080, 1000, 0, 0, 911.158, 428.178, 0.61418, 57.2975, 112.938, 191.998, 23.5391, 13.349, 492.198, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18989, 0.144527, 16.6054, 16.6054, 16.4609, 16.3814, 3.31799, 16.6054, 16.6054, 13.2874
4160, 1000, 0, 0, 912.049, 428.386, 0.604685, 57.3202, 112.958, 191.435, 23.1065, 13.3621, 492.681, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18843, 0.144387, 16.6054, 16.6054, 16.461, 16.3652, 3.31539, 16.6054, 16.6054, 13.29
4240, 1000, 0, 0, 912.857, 428.575, 0.596007, 57.3409, 112.976, 190.908, 22.7115, 13.3739, 493.12, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18711, 0.14426, 16.6054, 16.6054, 16.4611, 16.3505, 3.31304, 16.6054, 16.6054, 13.2924
